,RMSE,R2
RandomForest,24529.29414511083,-0.24882063821851808
XGBoost,22430.887099488715,-0.044294195294415584
Prophet,61377.3897146009,0.14027898915497128
LSTM,61659.52332454963,-0.08022518296960346
